team,name,Min,CleanSheet,PsOnHfFl,Recovery,GoalCncd,GoalCnIBx,Saves,SvClct,SvDive,SvHands,SvInBox,SvOutBox,SvPrdSaf,SvStand,BgChncFace,ExpGAg
Pacific,Callum Irving,90,1,1,3,0,0,7,5,2,7,5,2,1,1,3,2.11
Pacific,Callum Irving,90,0,5,1,1,1,2,2,2,2,1,1,0,0,1,1.3
Pacific,Callum Irving,90,0,0,0,1,1,6,2,2,5,5,1,2,2,3,1.56
Pacific,Callum Irving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Callum Irving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Callum Irving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Atlético Ottawa,Ignacio Zabal Almazán,90,0,1,3,2,2,4,2,1,3,2,2,1,1,2,1.79
Atlético Ottawa,Ignacio Zabal Almazán,90,1,3,1,0,0,4,3,1,3,3,1,1,0,2,1.07
Atlético Ottawa,Ignacio Zabal Almazán,90,0,1,0,4,3,7,1,5,7,5,2,5,1,2,1.99
Atlético Ottawa,Ignacio Zabal Almazán,90,0,2,3,2,2,2,2,1,2,2,0,0,1,4,3.19
Atlético Ottawa,Ignacio Zabal Almazán,90,1,4,1,0,0,4,3,1,3,2,2,1,1,1,0.69
Atlético Ottawa,Ignacio Zabal Almazán,90,0,4,1,2,2,2,0,1,2,1,1,1,1,3,2.13
Pacific,Nolan Wirth,90,0,5,0,2,2,4,3,0,4,3,1,1,3,1,1.04
Pacific,Nolan Wirth,90,0,3,1,2,2,2,2,0,2,2,0,0,0,3,2.09
Pacific,Nolan Wirth,90,0,3,2,1,1,1,1,0,1,0,1,0,1,1,0.63
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Forge,Triston Henry,90,0,3,0,1,1,2,0,1,2,2,0,2,0,1,1.42
Forge,Triston Henry,90,0,3,1,2,2,4,2,2,4,3,1,2,0,3,1.52
Forge,Triston Henry,90,1,3,1,0,0,2,1,0,2,2,0,1,0,1,1.11
Forge,Triston Henry,90,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.27
Forge,Triston Henry,90,0,0,0,3,3,2,0,1,2,1,1,2,1,2,1.72
Forge,Triston Henry,90,1,0,1,0,0,3,0,1,3,1,2,3,1,0,0.16
Cavalry,Marco Carducci,90,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0.28
Cavalry,Marco Carducci,90,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.08
Cavalry,Marco Carducci,90,0,4,1,2,2,1,0,1,1,0,1,1,0,3,2.07
Cavalry,Marco Carducci,90,0,2,1,2,2,2,1,1,2,0,2,0,1,1,0.65
Cavalry,Marco Carducci,90,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.26
Cavalry,Marco Carducci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Valour,James Pantemis,90,1,3,0,0,0,3,1,1,3,1,2,1,2,0,0.39
Valour,James Pantemis,90,0,2,1,2,2,6,3,2,5,5,1,2,3,2,1.35
Valour,James Pantemis,90,0,0,0,2,2,1,0,1,1,1,0,1,0,3,1.79
Valour,James Pantemis,90,1,0,2,0,0,3,2,1,3,2,1,0,2,0,0.37
Valour,James Pantemis,90,0,0,1,1,1,1,0,1,1,1,0,1,0,2,0.77
Valour,James Pantemis,90,0,1,1,2,1,3,0,3,2,2,1,2,0,0,0.44
HFX Wanderers,Christian Oxner,90,1,3,1,0,0,4,1,2,3,2,2,1,1,0,0.51
HFX Wanderers,Christian Oxner,90,0,0,0,1,0,2,1,1,2,1,1,1,0,2,1.19
HFX Wanderers,Christian Oxner,90,0,0,0,1,0,3,0,0,3,3,0,2,1,0,0.34
HFX Wanderers,Christian Oxner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HFX Wanderers,Christian Oxner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HFX Wanderers,Jason Beaulieu,90,0,3,4,2,1,2,0,1,1,1,1,2,0,1,0.49
HFX Wanderers,Jason Beaulieu,90,0,1,2,1,1,4,1,2,3,4,0,2,0,2,1.56
HFX Wanderers,Jason Beaulieu,90,0,1,2,2,2,2,1,1,2,0,2,1,1,2,1.02
HFX Wanderers,Jason Beaulieu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HFX Wanderers,Jason Beaulieu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HFX Wanderers,Jason Beaulieu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
York9,Nathan Ingham,90,1,1,3,0,0,3,1,2,3,1,2,1,1,0,0.47
York9,Nathan Ingham,90,0,0,0,1,1,4,1,3,3,4,0,2,1,1,1.48
York9,Nathan Ingham,90,0,0,0,2,2,3,0,3,3,2,1,1,0,4,2.85
York9,Nathan Ingham,90,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.23
