Rank,GM,optaTeamId,team,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
11,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,2,1,1,0,1,5,1,1,0,0,1,0,1,0,1,0,2,0,1,0,3,2,50,20,335,159,106,0.66,1,0,0.45,1,1,2,2,4,12,0,0,37,3,0,0,523,41,5,4,19,62,64.3%,32,17,42,1,3,6,6,3,7,2,0,1,0,0,0,0,1,1,0,0,4,0,0,1,3,1,0,3,4,0,1,2,0,0,1,0,0,1,2,0,7,103,231,189,11,39.7%,79.1%,116,37,112,49,143,143,0,21.8,5,45.0%,20,1.76,21,0,1,0,7,10,57.1%,53,6,3,0.18,0.48,0.66,4,1,PAC vs Y9,2020-08-19,7tas4i6lxq9imfed8t0627m6s,15380,cqthcpums3aas2tdy0qhlkuwa:2126232,PAC vs Y9 (2020-08-19)
11,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,4,4,0,0,1,7,1,3,0,0,0,0,1,0,0,1,6,2,0,0,1,2,47,13,343,132,151,1.76,1,1,1.60,2,2,4,4,8,12,0,0,39,5,1,0,526,35,5,10,8,35,78.9%,11,6,37,3,6,7,3,1,5,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1,4,3,177,156,193,20,39.7%,82.5%,131,62,90,78,112,153,0,22.5,4,58.8%,17,0.66,15,0,2,0,28,36,69.9%,23,9,3,0.80,0.97,1.76,7,1,PAC vs Y9,2020-08-19,7tas4i6lxq9imfed8t0627m6s,15382,b3436h8h14zw7f1uv6w9vqf6y:2126232,PAC vs Y9 (2020-08-19)
11,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,11,8,3,3,2,5,1,2,1,1,1,0,3,1,2,1,3,1,1,2,4,8,31,17,454,207,199,2.26,4,3,1.09,2,1,3,10,13,25,4,0,45,11,1,1,638,37,5,10,10,35,75.0%,7,2,46,3,2,4,6,5,4,0,1,1,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,3,2,1,1,0,0,2,0,0,0,3,0,6,11,183,216,239,32,34.8%,89.4%,177,88,141,105,160,189,1,18.5,5,80.0%,5,0.50,16,1,2,1,10,18,79.1%,28,7,0,1.25,1.01,1.47,10,3,ATO vs VAL,2020-08-19,7tdd1uok6zk7bgycge748czdg,16614,dd2vf0yzjm7jm7cak9tf11sa2:2126235,ATO vs VAL (2020-08-19)
11,1,16614,Atlético Ottawa,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,3,2,1,2,1,4,2,1,0,0,2,0,0,0,0,0,1,1,0,0,2,3,40,15,311,143,113,0.50,0,0,0.31,0,0,1,5,6,10,1,0,37,5,0,0,477,45,3,19,6,44,66.7%,15,7,38,5,6,4,2,3,4,0,0,0,0,0,0,0,4,3,1,0,7,0,0,1,5,0,0,7,5,2,1,5,0,1,1,1,0,2,2,0,10,121,171,185,13,37.6%,82.3%,118,49,89,53,111,147,0,20.2,11,20.0%,5,2.26,17,0,0,0,12,13,67.5%,32,8,4,0.35,0.14,0.50,6,5,ATO vs VAL,2020-08-19,7tdd1uok6zk7bgycge748czdg,15378,dn8tjhuq0bax4dgixqvluhzze:2126235,ATO vs VAL (2020-08-19)
15,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,5,5,0,0,1,4,2,1,1,1,1,0,1,0,0,0,1,0,0,1,2,6,57,22,501,224,198,1.59,1,0,0.31,2,0,1,3,4,22,2,1,44,13,0,0,693,63,8,3,19,42,50.0%,11,6,51,6,2,9,4,7,6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,20,188,230,275,23,33.5%,84.2%,188,83,151,102,176,223,1,19.6,11,30.0%,10,0.35,17,1,2,1,12,14,67.3%,29,9,4,0.61,0.98,0.80,4,2,HFX vs FOR,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,15376,c2pdzdl3dgf5b0siidn2ay5ii:2126238,HFX vs FOR (2020-08-20)
15,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,1,1,0,1,1,4,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,75,21,375,153,126,0.35,1,1,0.30,0,0,0,6,6,17,0,0,63,11,1,1,552,44,6,22,15,64,68.3%,18,8,58,7,4,6,2,6,9,3,0,0,0,0,0,0,1,1,0,0,4,0,0,1,2,1,0,3,4,0,1,2,0,0,1,0,0,3,2,6,8,117,195,240,5,40.3%,74.4%,145,50,84,74,118,183,0,19.8,13,70.0%,10,1.59,20,0,0,0,3,5,52.3%,45,17,2,0.30,0.05,0.35,5,1,HFX vs FOR,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,15377,5gmx3o5y2oc0i6rowjwtu7jvu:2126238,HFX vs FOR (2020-08-20)
17,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,0,0,0,0,0,5,2,1,0,0,1,0,0,0,0,0,2,0,0,0,2,1,58,13,235,82,82,0.26,0,0,0.11,0,0,2,0,2,13,0,0,52,6,0,0,417,46,4,7,11,51,64.7%,28,9,41,7,3,7,3,7,5,4,0,0,0,0,0,0,2,2,0,0,3,0,0,1,2,1,0,2,2,1,1,1,0,1,0,0,1,1,5,6,10,71,153,193,7,48.5%,69.8%,89,19,56,30,80,125,0,21.1,6,65.6%,32,2.92,19,0,0,0,4,8,54.4%,38,11,2,0.08,0.18,0.26,2,1,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,15381,73xrv2025rnj0t3y9ayp83bec:2126240,EDM vs CAV (2020-08-21)
17,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,5,4,1,0,2,6,0,2,1,1,1,0,2,0,1,0,3,0,1,1,1,7,67,17,592,324,184,2.92,2,1,1.70,5,3,5,6,11,12,0,0,46,6,1,1,760,52,7,7,6,30,70.0%,8,4,45,7,4,5,3,7,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,116,210,434,19,30.4%,85.8%,316,42,150,51,170,371,0,20.0,6,34.4%,32,0.26,13,0,5,2,14,22,63.9%,18,11,1,1.45,1.47,2.13,10,0,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,41ewt71n8fqwy6trsqta1bjvu:2126240,EDM vs CAV (2020-08-21)
19,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,6,5,1,0,2,6,3,3,0,0,1,0,2,0,2,0,1,2,0,2,2,7,61,26,358,166,105,1.13,2,1,0.94,1,1,2,7,9,23,5,2,61,10,0,0,566,50,4,16,9,47,62.5%,18,12,51,5,0,5,3,6,10,5,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,1,1,2,9,122,206,238,24,43.0%,75.7%,139,36,96,49,129,180,0,20.9,12,61.9%,21,1.89,18,0,1,1,12,18,56.5%,33,14,0,0.92,0.21,1.13,8,6,FOR vs PAC,2020-08-22,7to1ns52wkgk9irtdbwzdn2ms,15380,c2pdzdl3dgf5b0siidn2ay5ii:2126242,FOR vs PAC (2020-08-22)
19,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,3,1,2,4,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,4,59,26,371,136,150,0.72,0,0,0.45,0,0,2,6,8,15,3,0,45,5,0,0,547,40,2,8,7,30,100.0%,13,7,39,9,5,4,6,4,8,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,3,1,2,0,1,0,1,0,0,0,2,0,4,9,179,161,207,23,36.9%,77.1%,136,70,80,90,108,173,0,20.2,0,66.7%,18,0.60,16,0,0,0,15,28,63.5%,22,2,6,0.51,0.22,0.72,8,3,Y9 vs VAL,2020-08-22,7tlbzq6emywjn0z9q1pwzwxsk,15378,cqthcpums3aas2tdy0qhlkuwa:2126241,Y9 vs VAL (2020-08-22)
19,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,4,4,0,3,3,11,3,5,0,0,0,0,1,0,0,0,4,0,0,1,3,8,67,23,405,126,189,1.89,1,0,1.11,1,0,4,14,18,21,1,0,50,12,0,0,612,61,5,16,12,56,67.7%,22,14,56,6,3,11,0,5,5,2,0,1,1,0,0,0,2,2,0,0,4,0,0,3,0,0,0,4,3,1,0,1,0,3,1,0,0,3,1,6,14,181,196,235,23,42.2%,77.8%,150,81,84,96,125,184,0,20.9,10,38.1%,21,1.13,18,0,1,1,17,21,63.2%,43,9,4,0.73,1.16,1.89,18,2,FOR vs PAC,2020-08-22,7to1ns52wkgk9irtdbwzdn2ms,15377,b3436h8h14zw7f1uv6w9vqf6y:2126242,FOR vs PAC (2020-08-22)
19,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,3,1,2,1,3,4,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,6,57,24,379,176,122,0.60,0,0,0.37,0,0,1,4,5,5,1,0,39,0,0,0,551,46,7,9,9,44,76.2%,16,8,43,4,6,9,4,9,4,1,1,1,0,0,1,1,0,0,0,0,3,0,0,1,1,0,0,3,1,2,1,1,0,2,0,0,0,2,0,4,8,127,242,182,13,36.7%,78.6%,129,50,119,72,154,153,0,21.1,5,35.3%,17,0.72,22,0,0,0,2,6,64.0%,38,3,3,0.26,0.34,0.60,5,6,Y9 vs VAL,2020-08-22,7tlbzq6emywjn0z9q1pwzwxsk,15382,dd2vf0yzjm7jm7cak9tf11sa2:2126241,Y9 vs VAL (2020-08-22)
23,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,4,3,1,3,1,3,0,0,0,0,0,0,2,0,2,0,2,0,2,0,4,1,41,14,474,216,203,2.25,2,1,1.57,3,2,4,3,7,21,0,0,54,9,0,0,660,52,3,14,11,39,81.0%,8,4,41,9,4,5,5,7,5,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,1,0,0,2,0,2,0,0,0,1,0,0,0,2,1,6,12,144,187,329,11,30.4%,88.4%,240,61,118,67,135,272,0,19.8,4,52.2%,23,0.76,11,0,3,2,16,24,73.6%,24,10,5,1.63,0.61,2.25,6,2,ATO vs EDM,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,16614,73xrv2025rnj0t3y9ayp83bec:2126243,ATO vs EDM (2020-08-23)
23,1,16614,Atlético Ottawa,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,4,2,2,1,1,5,3,1,0,0,1,0,2,0,2,0,1,0,0,2,4,4,58,19,343,103,163,0.76,2,2,0.65,1,1,1,7,8,12,0,0,54,4,0,0,513,56,5,17,11,53,71.0%,17,9,48,7,5,5,4,8,5,3,0,0,1,0,0,1,2,2,0,0,2,0,0,0,1,0,0,2,1,1,1,1,1,0,0,0,0,3,3,4,13,148,180,185,12,42.6%,77.6%,113,85,68,99,103,141,0,18.9,9,48.0%,25,2.25,19,0,1,1,10,14,64.4%,41,8,4,0.55,0.21,0.76,6,3,ATO vs EDM,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,6925,dn8tjhuq0bax4dgixqvluhzze:2126243,ATO vs EDM (2020-08-23)
25,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,3,3,0,1,2,2,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,3,77,16,427,199,135,1.20,1,0,0.37,1,0,0,6,6,20,0,0,60,11,0,0,619,60,4,10,5,45,63.6%,20,6,50,7,2,9,0,10,8,3,0,0,0,0,1,0,2,1,1,1,2,0,0,0,1,1,0,1,1,1,0,2,0,0,0,0,0,2,1,0,12,116,204,299,14,36.3%,78.2%,187,39,108,53,137,237,0,19.7,8,59.4%,32,0.56,16,0,1,1,10,15,56.8%,34,10,1,0.34,0.86,0.41,6,2,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15381,5gmx3o5y2oc0i6rowjwtu7jvu:2126244,CAV vs HFX (2020-08-24)
25,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,4,2,2,2,0,2,0,1,0,0,0,0,1,1,2,0,0,0,1,1,3,3,63,33,499,263,140,0.56,2,1,0.45,1,1,2,3,5,16,1,0,60,8,0,0,684,60,10,11,9,44,65.6%,14,4,55,11,1,9,2,7,9,2,0,1,0,0,1,1,1,1,0,0,2,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,1,1,2,7,124,285,275,23,34.9%,80.8%,186,52,165,64,214,221,1,19.7,11,40.6%,32,1.20,18,1,1,0,11,16,63.2%,31,9,4,0.45,0.11,0.56,4,3,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15376,41ewt71n8fqwy6trsqta1bjvu:2126244,CAV vs HFX (2020-08-24)
27,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,5,4,1,0,1,5,0,2,0,0,1,0,2,0,1,0,5,0,0,2,1,4,55,19,376,178,124,2.26,2,1,0.93,2,0,3,4,7,18,1,0,61,10,1,0,566,56,7,16,4,43,71.9%,13,5,41,5,8,5,6,7,5,1,0,0,0,0,0,1,3,3,0,0,2,0,0,0,1,0,0,2,1,1,0,2,0,1,0,0,0,3,2,4,16,150,196,220,22,38.0%,80.3%,138,47,117,65,138,173,1,18.8,9,55.6%,18,1.73,9,1,2,1,13,22,65.7%,25,10,8,0.37,1.89,2.26,6,1,Y9 vs FOR,2020-08-26,7tyu476shfl4lg1dm54shvt3o,15382,c2pdzdl3dgf5b0siidn2ay5ii:2126246,Y9 vs FOR (2020-08-26)
27,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,1,5,4,1,1,0,7,5,1,1,1,2,0,3,0,0,1,1,1,0,2,4,6,43,15,297,108,131,1.73,3,1,0.32,2,0,2,5,7,15,0,0,56,9,0,0,498,61,9,13,10,48,68.8%,15,6,35,7,6,5,7,5,5,0,0,0,0,0,0,0,2,2,0,1,3,0,0,0,2,0,0,3,2,1,2,1,0,1,0,0,0,1,2,2,18,131,184,183,17,42.8%,80.5%,113,53,73,63,107,127,0,20.2,10,44.4%,18,2.26,28,0,2,2,14,23,66.9%,31,16,1,0.24,1.49,0.94,6,1,Y9 vs FOR,2020-08-26,7tyu476shfl4lg1dm54shvt3o,15377,cqthcpums3aas2tdy0qhlkuwa:2126246,Y9 vs FOR (2020-08-26)
27,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,1,8,7,1,1,1,4,2,2,0,0,0,0,2,0,2,0,0,2,0,2,5,5,72,19,412,179,142,1.59,2,1,0.74,2,1,0,7,7,14,1,1,46,9,1,1,606,40,4,10,16,48,58.3%,18,11,57,1,3,9,1,6,4,3,1,1,0,0,0,2,0,0,0,0,7,0,0,5,2,0,0,7,5,2,1,1,0,1,4,0,0,1,3,6,9,138,249,219,22,38.8%,77.9%,132,61,128,75,168,169,0,22.0,10,66.7%,18,2.26,17,0,2,2,12,15,58.8%,32,13,3,1.55,0.03,1.59,6,4,PAC vs VAL,2020-08-26,7tw47791fe2i850ddmt0nthqs,15378,b3436h8h14zw7f1uv6w9vqf6y:2126245,PAC vs VAL (2020-08-26)
