team,name,number,position,minutes,cs,saves,shots faced,claimed crosses,overall
VFC,James Pantemis,1,g,630,2,19,28,2,0.8
ATO,Ignacio Zabal Almazán,1,g,540,2,23,33,1,0.77
FFC,Triston Henry,1,g,450,2,13,20,3,0.71
Y9,Nathan Ingham,29,g,540,2,13,19,2,0.66
PFC,Callum Irving,13,g,270,1,15,17,3,0.58
CFC,Marco Carducci,1,g,540,3,7,13,0,0.51
FCE,Connor James,1,g,450,0,10,21,2,0.49
HFX,Christian Oxner,50,g,270,1,9,11,1,0.36
HFX,Jason Beaulieu,1,g,270,0,8,13,0,0.23
FFC,Baj Maan,31,g,90,0,6,8,1,0.19
PFC,Nolan Wirth,1,g,180,0,7,12,0,0.19
CFC,Nikolas Giantsopoulos,22,g,90,0,2,3,1,0.13
FCE,Dylon Powley,13,g,90,0,3,4,0,0.07
Y9,Ezequiel Carrasco,37,g,90,0,1,2,0,0.04
