team,name,Min,ExpG,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOpHfScs,ChncOpnPl,SucflDuels,Touches,DuelLs,Recovery,FlComA3,FlSufM3,Disposs,TchsA3,TouchOpBox,PsCmpA3,display
Cavalry,Nico Pasquotti,90,0.03,0.0,0,0,8,31,14,0,9,58,7,10,1,1,1,33,0,11,Nico Pasquotti
Cavalry,Nico Pasquotti,45,0.08,0.0,0,0,0,8,4,0,5,22,4,1,0,1,1,14,1,4,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.6,0.0,0,1,4,29,18,0,7,53,6,3,0,1,1,25,2,9,Nico Pasquotti
Cavalry,Nico Pasquotti,89,0.04,0.03,0,0,4,25,13,1,5,44,8,2,1,2,2,24,5,8,Nico Pasquotti
Cavalry,Nico Pasquotti,27,0.03,0.3,0,0,4,18,12,1,6,34,1,2,0,0,0,26,3,10,Nico Pasquotti
Cavalry,Nico Pasquotti,75,0.1,0.0,0,0,6,20,8,0,2,42,6,5,0,0,2,24,3,4,Nico Pasquotti
Cavalry,Oliver Minatel,80,0.03,0.13,0,1,8,28,18,3,6,36,5,4,0,2,0,19,4,12,Oliver Minatel
Cavalry,Oliver Minatel,45,0.0,0.0,0,0,1,6,2,0,2,9,3,2,0,0,0,3,0,1,Oliver Minatel
Cavalry,Oliver Minatel,64,0.06,0.47,0,1,2,18,10,1,2,26,5,2,0,1,0,9,2,5,Oliver Minatel
Cavalry,Oliver Minatel,71,0.04,0.0,0,1,4,32,8,0,7,45,5,6,1,2,1,13,3,8,Oliver Minatel
Cavalry,Oliver Minatel,90,0.07,0.16,0,0,5,33,20,2,5,46,3,4,0,0,0,23,1,10,Oliver Minatel
Cavalry,Oliver Minatel,84,0.06,0.0,0,0,1,14,9,0,3,24,9,1,1,1,2,13,3,6,Oliver Minatel
Cavalry,Jordan Brown,66,0.05,0.03,0,0,4,10,3,0,0,16,2,2,0,0,0,11,3,3,Jordan Brown
Cavalry,Jordan Brown,40,0.0,0.0,0,0,0,2,0,0,1,7,2,1,0,0,0,4,1,0,Jordan Brown
Cavalry,Jordan Brown,90,1.29,0.0,2,0,1,16,9,0,1,27,5,1,1,0,2,11,5,3,Jordan Brown
Cavalry,Jordan Brown,19,0.07,0.0,1,0,1,6,1,0,1,12,3,2,0,1,0,4,4,1,Jordan Brown
Cavalry,Jordan Brown,90,0.18,0.0,0,1,2,13,9,0,3,26,10,0,2,2,3,14,4,5,Jordan Brown
