team,name,number,position,minutes,cs,saves,shots faced,claimed crosses,overall
FFC,Triston Henry,1,g,630,4,18,26,3,0.86
ATO,Ignacio Zabal Almazán,1,g,630,2,24,36,2,0.8
PFC,Callum Irving,13,g,540,1,23,31,3,0.76
VFC,James Pantemis,1,g,630,2,19,28,2,0.72
HFX,Christian Oxner,50,g,540,2,19,23,1,0.6
Y9,Nathan Ingham,29,g,540,2,13,19,2,0.59
CFC,Marco Carducci,1,g,720,3,10,19,0,0.53
FCE,Connor James,1,g,540,0,11,24,2,0.5
HFX,Jason Beaulieu,1,g,270,0,8,13,0,0.21
FFC,Baj Maan,31,g,90,0,6,8,1,0.18
PFC,Nolan Wirth,1,g,180,0,7,12,0,0.17
CFC,Nikolas Giantsopoulos,22,g,90,0,2,3,1,0.12
FCE,Dylon Powley,13,g,90,0,3,4,0,0.07
Y9,Ezequiel Carrasco,37,g,90,0,1,2,0,0.04
